iter	RMSE
0	0.6814837224
1	0.6408637044
2	0.6053538313
3	0.5741498836
4	0.547233431
5	0.5238495279
6	0.5036087016
7	0.4868164685
8	0.4723605811
9	0.4599039808
10	0.4491517119
11	0.44018925
12	0.432560838
13	0.4259168642
14	0.4202142763
15	0.4154494977
16	0.410840684
17	0.4072104628
18	0.4039695909
19	0.4011954868
20	0.3988281302
21	0.3963737859
22	0.3944442717
23	0.3923992318
24	0.3908768855
25	0.3897164926
26	0.3886046515
27	0.3868930953
28	0.3856245864
29	0.3847357534
30	0.3837817052
31	0.3823426635
32	0.3811020019
33	0.379835562
34	0.3786859335
35	0.378015944
36	0.3771512597
37	0.3763471894
38	0.3755491781
39	0.3746098221
40	0.3740320224
41	0.3735375513
42	0.3729138216
43	0.3722662902
44	0.3715258341
45	0.3709419929
46	0.3705146261
47	0.3699948619
48	0.3695177754
49	0.3689866528
50	0.368547
51	0.3681878415
52	0.3677076498
53	0.3669680381
54	0.3666440708
55	0.3661025413
56	0.3656531162
57	0.3650859741
58	0.3645510404
59	0.3643301544
60	0.3638814668
61	0.3635533508
62	0.3632734122
63	0.3627914206
64	0.3625775144
65	0.3621791707
66	0.3618891656
67	0.361450872
68	0.361177651
69	0.3607537204
70	0.3605554842
71	0.3601451465
72	0.3598735497
73	0.3594813243
74	0.3591914567
75	0.3589946046
76	0.3587279738
77	0.3584737745
78	0.3582188578
79	0.357809389
80	0.3575893016
81	0.35726291
82	0.3571038787
83	0.3569751867
84	0.3567112318
85	0.3565562127
86	0.3563620724
87	0.3561353762
88	0.3559299616
89	0.3556907896
90	0.3555276898
91	0.3550668536
92	0.3547562638
93	0.3546592889
94	0.3545671057
95	0.3543030186
96	0.3541529004
97	0.3539427558
98	0.3537096524
99	0.3532614569
100	0.3530122245
101	0.3528760253
102	0.3526588456
103	0.3524900134
104	0.3522941587
105	0.3521134109
106	0.3519526046
107	0.3517528248
108	0.3516338129
109	0.3514356899
110	0.3513208694
111	0.3510927662
112	0.3508675581
113	0.3506194213
114	0.3504823673
115	0.3504014349
116	0.3502900717
117	0.3501126361
118	0.349951245
119	0.3497605503
120	0.3495505751
121	0.3492856809
122	0.3491628316
123	0.3490236966
124	0.3488716627
125	0.3485861595
126	0.348353455
127	0.3482001653
128	0.3481053186
129	0.3479810231
130	0.3478574188
131	0.3477184463
132	0.3475528783
133	0.3473132012
134	0.347200173
135	0.3470797082
136	0.3469759548
137	0.3467879453
138	0.3466890361
139	0.346585781
140	0.3464636712
141	0.3463169812
142	0.3462117571
143	0.3460790236
144	0.3458858546
145	0.3457471823
146	0.3455652822
147	0.345430469
148	0.3453521353
149	0.3452839371
150	0.3451752095
151	0.3449893159
152	0.3448565648
153	0.3447624571
154	0.3446120178
155	0.3445474454
156	0.34447183
157	0.3443799405
158	0.3443049854
159	0.3441944751
160	0.3440977788
161	0.3439631657
162	0.3438456308
163	0.3436974916
164	0.3436265983
165	0.3435355096
166	0.3434534814
167	0.343397358
168	0.34328242
169	0.343194016
170	0.3431035612
171	0.3429913218
172	0.3429477738
173	0.3427853437
174	0.3426177231
175	0.3424617266
176	0.3423457912
177	0.3422769094
178	0.3421452478
179	0.3420694957
180	0.3419759633
181	0.3419016086
182	0.3418022744
183	0.3416887806
184	0.341622142
185	0.3415487312
186	0.3414823069
187	0.3414282285
188	0.3413695143
189	0.3413294312
190	0.3412360447
191	0.3411872322
192	0.3410876245
193	0.3410393643
194	0.3409897366
195	0.3409153954
196	0.3408324552
197	0.3407296187
198	0.3406560463
199	0.3406075883
200	0.3405494418
201	0.3404695175
202	0.3404180953
203	0.3403570093
204	0.3403139282
205	0.3402545742
206	0.3401888821
207	0.3400512107
208	0.3399701323
209	0.3399356444
210	0.3398325977
211	0.3397806506
212	0.3397423777
213	0.3396029923
214	0.339568015
215	0.3394770669
216	0.3393500913
217	0.3392435035
218	0.3392034868
219	0.339151557
220	0.3390602426
221	0.338981399
222	0.3388686001
223	0.3387972393
224	0.3387170037
225	0.3386485363
226	0.3386227502
227	0.3385340122
228	0.3384428626
229	0.3383717882
230	0.3382624911
231	0.3381988494
232	0.3381633771
233	0.3381112164
234	0.338023551
235	0.3379891816
236	0.3379437165
237	0.3378949177
238	0.3378521846
239	0.3378117178
240	0.3377515366
241	0.3376653832
242	0.3375937558
243	0.3375006046
244	0.337433616
245	0.3373809319
246	0.3373056315
247	0.3372668874
248	0.3372152923
249	0.3371360734
250	0.3371074535
251	0.3370569764
252	0.3370085345
253	0.3369652903
254	0.3368741551
255	0.3367990999
256	0.3367378802
257	0.3366620921
258	0.3366320873
259	0.3365504766
260	0.3365052179
261	0.3364751811
262	0.336439549
263	0.3363724786
264	0.3363032125
265	0.3362570228
266	0.3361871756
267	0.3361241487
268	0.3360371378
269	0.3359658049
270	0.3359333361
271	0.3358838761
272	0.3358510903
273	0.3357789127
274	0.3357233536
275	0.3356874846
276	0.335651436
277	0.3356095453
278	0.3355856107
279	0.335562941
280	0.3355094977
281	0.3354502975
282	0.3353765142
283	0.3352616815
284	0.3352255329
285	0.3351863836
286	0.3351458826
287	0.3350989835
288	0.3349919567
289	0.3349100225
290	0.3348304578
291	0.3348036237
292	0.3347130035
293	0.3346114372
294	0.33458544
295	0.3345364811
296	0.3344803911
297	0.3344293408
298	0.3343644828
299	0.3343299138
300	0.334227319
301	0.3341918705
302	0.3341243257
303	0.3340623017
304	0.3339874814
305	0.3339061841
306	0.3338769025
307	0.3338579075
308	0.3338248202
309	0.3337876013
310	0.3337124454
311	0.3336749218
312	0.3336254005
313	0.3335608348
314	0.3334944637
315	0.333479683
316	0.3334298392
317	0.3334000741
318	0.3333582645
319	0.3332959176
320	0.3332773751
321	0.3332221562
322	0.3331718161
323	0.3331397177
324	0.3331091459
325	0.3330604808
326	0.3329977396
327	0.3329734722
328	0.3329234575
329	0.3328909396
330	0.3328554817
331	0.3328193837
332	0.3327807619
333	0.3326807469
334	0.3326476169
335	0.3325911938
336	0.3324950751
337	0.3324488151
338	0.3323874545
339	0.3323437277
340	0.3323117954
341	0.3322861315
342	0.3322079826
343	0.3321523679
344	0.3321254034
345	0.3321119792
346	0.332088094
347	0.3320535113
348	0.3320300703
349	0.3320167269
350	0.3319678441
351	0.3319248724
352	0.3319049721
353	0.3318812104
354	0.3318120363
355	0.3317864049
356	0.3317688253
357	0.3316911645
358	0.3316372042
359	0.3315843664
360	0.3315231766
361	0.3314541047
362	0.3314363618
363	0.3313844678
364	0.3313427994
365	0.331321173
366	0.3312634098
367	0.3312402601
368	0.3312192046
369	0.3311800705
370	0.3311463704
371	0.3310930127
372	0.3310522168
373	0.3310079189
374	0.3309523935
375	0.3309147713
376	0.3309018683
377	0.3308472265
378	0.3308168753
379	0.3307437199
380	0.3307142719
381	0.3306902201
382	0.3306410811
383	0.3306141529
384	0.3305929261
385	0.3305298494
386	0.330485112
387	0.3304538152
388	0.3304187289
389	0.3303362985
390	0.3303065042
391	0.3302817356
392	0.3302299967
393	0.3302003483
394	0.3301729563
395	0.3301358484
396	0.3300968572
397	0.3300691884
398	0.3300082467
399	0.3299771013
400	0.3299607502
401	0.3299294632
402	0.3298943834
403	0.3298620728
404	0.3298267415
405	0.3298068714
406	0.329787841
407	0.3297600071
408	0.3297423537
409	0.3296855167
